,공연시설코드,시설특성,개관연도,주소,편의시설_레스토랑 여부,편의시설_카페 여부,편의시설_편의점 여부,편의시설_놀이방 여부,편의시설_수유실 여부,장애인시설_주차장 여부,장애인시설_화장실 여부,장애인시설_경사로 여부,장애인시설_전용엘리베이터 여부,주차시설_자체 여부,주차시설_공영 여부,공연장코드,좌석수,장애인석,무대시설_오케스트라피트 여부,무대시설_연습실 여부,무대시설_분장실 여부,무대시설_무대넓이
270778,FC222389,공공(문예회관),1988.0,부산광역시 남구 유엔평화로76번길 1 (대연동) ,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,FC222389-01,1409,14,Y,Y,Y,1524
272109,FC222389,공공(문예회관),1988.0,부산광역시 남구 유엔평화로76번길 1 (대연동) ,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,FC222389-04,410,4,N,Y,Y,60
272411,FC222389,공공(문예회관),1988.0,부산광역시 남구 유엔평화로76번길 1 (대연동) ,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,FC222389-02,312,4,N,Y,Y,119
273149,FC222641,공공(문예회관),1990.0,충청남도 서산시 문화로 54 (읍내동) ,N,N,N,N,N,Y,N,Y,N,Y,N,FC222641-01,601,N,N,N,Y,162
273422,FC222641,공공(문예회관),1990.0,충청남도 서산시 문화로 54 (읍내동) ,N,N,N,N,N,Y,N,Y,N,Y,N,FC222641-02,100,10,N,N,Y,979
273981,FC222230,공공(문예회관),2004.0,경기도 안산시 단원구 화랑로 312 (고잔동) 안산문화예술의전당,N,Y,N,Y,N,Y,Y,N,Y,Y,N,FC222230-02,712,8,N,Y,Y,
274443,FC222230,공공(문예회관),2004.0,경기도 안산시 단원구 화랑로 312 (고잔동) 안산문화예술의전당,N,Y,N,Y,N,Y,Y,N,Y,Y,N,FC222230-03,160,2,N,Y,Y,
274977,FC222287,공공(기타),2003.0,서울특별시 강남구 테헤란로92길 12-9 (대치동) 한국문화의집,N,N,N,N,N,N,N,N,N,Y,N,FC222287-01,234,2,N,N,Y,10.3X8.4
275002,FC222344,공공(문예회관),1988.0,경기도 부천시 장말로 107(상동) ,N,N,N,N,N,Y,Y,Y,N,Y,N,FC222344-01,1041,12,N,N,Y,25.31X11.07X0.14
275486,FC222822,공공(기타),2010.0,인천광역시 남구 매소홀로 618 (문학동) 문학경기장,N,N,N,N,N,Y,Y,N,N,Y,N,FC222822-01,144,N,N,Y,Y,196
275538,FC223448,민간(대학로),2014.0,서울특별시 종로구 창경궁로 259 ,N,N,N,N,N,N,N,N,N,N,Y,FC223448-01,84,N,N,N,N,
275552,FC224283,민간(대학로 외),2020.0,경기도 의정부시 용민로 483 (민락동) 보광프라자 4층,N,Y,Y,N,N,Y,Y,N,N,Y,N,FC224283-01,50,N,N,N,N,
275694,FC222242,공공(문예회관),1978.0,서울특별시 종로구 세종대로 175 (세종로) ,N,N,N,N,N,Y,Y,N,N,Y,N,FC222242-03,609,7,Y,N,Y,13500X7500
278528,FC222242,공공(문예회관),1978.0,서울특별시 종로구 세종대로 175 (세종로) ,N,N,N,N,N,Y,Y,N,N,Y,N,FC222242-03,609,7,Y,N,Y,13500X7500
280887,FC222242,공공(문예회관),1978.0,서울특별시 종로구 세종대로 175 (세종로) ,N,N,N,N,N,Y,Y,N,N,Y,N,FC222242-01,3022,20,Y,N,Y,22000X11860X430
327558,FC222242,공공(문예회관),1978.0,서울특별시 종로구 세종대로 175 (세종로) ,N,N,N,N,N,Y,Y,N,N,Y,N,FC222242-02,443,5,N,Y,Y,10X5.5
327680,FC222242,공공(문예회관),1978.0,서울특별시 종로구 세종대로 175 (세종로) ,N,N,N,N,N,Y,Y,N,N,Y,N,FC222242-02,443,5,N,Y,Y,10X5.5
329573,FC222242,공공(문예회관),1978.0,서울특별시 종로구 세종대로 175 (세종로) ,N,N,N,N,N,Y,Y,N,N,Y,N,FC222242-07,300,N,N,Y,Y,
332020,FC222545,공공(기타),1997.0,대전광역시 서구 둔산대로 201 (만년동) ,Y,Y,N,N,N,N,N,N,N,Y,N,FC222545-02,317,4,N,N,N,12X5.9X4.95
332749,FC222220,국립,2005.0,서울특별시 용산구 서빙고로 137 (용산동6가) 국립중앙박물관,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,FC222220-01,805,8,Y,Y,Y,532
335872,FC222220,국립,2005.0,서울특별시 용산구 서빙고로 137 (용산동6가) 국립중앙박물관,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,FC222220-01,805,8,Y,Y,Y,532
346985,FC223429,민간(대학로),2016.0,서울특별시 종로구 대학로8가길 80 (동숭동) 5층,Y,N,N,N,N,N,N,Y,Y,N,Y,FC223429-01,120,N,N,N,Y,8.7X4X2.8
348100,FC223378,민간(대학로),2007.0,서울특별시 종로구 성균관로4길 42 (명륜2가) ,Y,N,N,N,N,N,N,N,N,N,N,FC223378-01,84,N,N,N,Y,
348104,FC223343,민간(대학로),2010.0,서울특별시 종로구 동숭길 47 (동숭동) 지하 1층,N,N,N,N,N,N,N,N,N,N,Y,FC223343-01,114,N,N,N,N,
348129,FC223311,민간(대학로),2007.0,서울특별시 종로구 대학로8길 25 (동숭동) 더브릭스 빌딩 지하,Y,Y,N,N,N,N,N,N,N,N,Y,FC223311-01,202,N,N,N,Y,10X6.6
348330,FC222058,공공(문예회관),1998.0,대구광역시 서구 당산로 403 (이현동) ,N,N,N,N,N,Y,Y,N,N,Y,N,FC222058-01,452,N,Y,N,Y,238
349126,FC222996,민간(대학로),1996.0,서울특별시 종로구 동숭4길 16-3 (동숭동) ,N,N,N,N,N,N,N,N,N,N,Y,FC222996-01,66,N,N,N,Y,
349481,FC222120,공공(문예회관),1992.0,충청남도 아산시 남부로 92 (용화동) ,N,N,N,N,N,Y,Y,Y,N,Y,N,FC222120-01,509,5,N,N,Y,
349829,FC222351,민간(대학로),2016.0,서울특별시 종로구 이화장길 26 (이화동)  ,N,Y,N,N,N,N,Y,N,N,N,Y,FC222351-02,230,N,Y,Y,N,
349908,FC222351,민간(대학로),2016.0,서울특별시 종로구 이화장길 26 (이화동)  ,N,Y,N,N,N,N,Y,N,N,N,Y,FC222351-03,208,N,Y,Y,N,
349948,FC222351,민간(대학로),2016.0,서울특별시 종로구 이화장길 26 (이화동)  ,N,Y,N,N,N,N,Y,N,N,N,Y,FC222351-01,210,N,Y,Y,N,
349961,FC222615,공공(문예회관),1993.0,전라남도 순천시 삼산로 16 (석현동) ,N,N,N,N,N,N,N,N,N,Y,N,FC222615-01,914,10,N,Y,Y,306
352256,FC222615,공공(문예회관),1993.0,전라남도 순천시 삼산로 16 (석현동) ,N,N,N,N,N,N,N,N,N,Y,N,FC222615-01,914,10,N,Y,Y,306
353239,FC222253,민간(대학로 외),2011.0,서울특별시 용산구 이태원로 294 (한남동) 블루스퀘어,Y,Y,N,N,N,N,Y,Y,Y,Y,N,FC222253-01,1766,18,Y,Y,Y,14.9X10
409600,FC222253,민간(대학로 외),2011.0,서울특별시 용산구 이태원로 294 (한남동) 블루스퀘어,Y,Y,N,N,N,N,Y,Y,Y,Y,N,FC222253-01,1766,18,Y,Y,Y,14.9X10
411823,FC222332,공공(문예회관),2011.0,경기도 광주시 회안대로 891 (송정동) ,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,FC222332-01,1038,12,N,Y,Y,27.6X30.5
412642,FC222293,공공(문예회관),1990.0,경기도 광명시 시청로 20 (철산동) ,N,Y,N,N,Y,Y,Y,Y,Y,Y,N,FC222293-02,530,6,N,Y,N,
412757,FC222307,민간(대학로 외),2011.0,대전광역시 중구 대종로505번길 28(선화동) ,N,N,N,N,N,N,N,N,N,N,Y,FC222307-01,95,N,N,Y,Y,
412893,FC222382,공공(문예회관),2000.0,부산광역시 금정구 체육공원로 7 (구서동) 금정문화회관,N,Y,N,N,N,Y,N,Y,Y,Y,N,FC222382-01,880,8,Y,Y,Y,553
414540,FC222251,공공(문예회관),2005.0,서울특별시 광진구 능동로 76 (자양동) ,N,Y,N,N,N,Y,Y,Y,Y,Y,N,FC222251-01,167,4,N,Y,N,10X3.5X4
414636,FC222268,공공(문예회관),2004.0,서울특별시 노원구 중계로 181 (중계동) ,N,Y,N,N,Y,Y,Y,Y,Y,Y,N,FC222268-01,608,8,Y,Y,Y,
415209,FC222455,공공(문예회관),1991.0,광주광역시 북구 북문대로 60 (운암동) ,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,FC222455-02,504,N,Y,N,N,448
416334,FC222279,공공(문예회관),2012.0,경기도 용인시 수지구 포은대로 499 (죽전동) 용인포은아트홀,N,N,N,N,N,Y,Y,Y,Y,Y,N,FC222279-01,1245,14,Y,Y,Y,4410
