,연령대,성별,지역,가입경로,마케팅동의,회원구분,총구매금액,실결제금액,매장방문수,적립금,사용적립금,탈퇴여부
3522,미입력,미입력,선택,pc,F,전화주문 고객,1219670.0,1033490.0,0.0,0.0,0.0,T
697,미입력,미입력,선택,pc,F,사업자,81790.0,81790.0,0.0,3210.0,0.0,F
2724,미입력,미입력,선택,pc,F,전화주문 고객,172310.0,112310.0,0.0,0.0,0.0,F
2018,미입력,미입력,선택,pc,F,전화주문 고객,56760.0,0.0,0.0,0.0,0.0,F
1735,미입력,미입력,선택,pc,F,전화주문 고객,185790.0,152790.0,0.0,0.0,0.0,F
3378,미입력,미입력,선택,pc,F,전화주문 고객,3540450.0,3041070.0,0.0,12000.0,12000.0,F
3683,미입력,미입력,선택,pc,F,사업자,608730.0,533900.0,0.0,0.0,0.0,F
69,미입력,남자,선택,pc,F,전화주문 고객,72210.0,72210.0,0.0,1000.0,0.0,F
9,미입력,미입력,선택,pc,F,사업자,345650.0,337640.0,15.0,3900.0,1000.0,T
3873,40대,여자,충북,pc,F,사업자,137060.0,123350.0,0.0,0.0,0.0,F
3703,미입력,미입력,미입력,pc,F,일반,123770.0,107394.0,0.0,0.0,0.0,T
666,미입력,미입력,선택,pc,F,전화주문 고객,609930.0,609930.0,0.0,0.0,0.0,F
1580,미입력,미입력,선택,pc,F,사업자,329040.0,296830.0,0.0,7010.0,5510.0,T
1093,미입력,미입력,선택,pc,F,사업자,257070.0,213290.0,0.0,5100.0,0.0,T
2810,미입력,미입력,미입력,pc,F,사업자,1120620.0,927520.0,0.0,6440.0,0.0,F
3106,미입력,미입력,선택,pc,F,사업자,421920.0,221920.0,0.0,2000.0,0.0,F
974,미입력,미입력,선택,pc,F,전화주문 고객,380360.0,0.0,0.0,1000.0,0.0,F
3541,미입력,미입력,선택,pc,F,전화주문 고객,452400.0,397400.0,0.0,0.0,0.0,T
1727,미입력,미입력,선택,pc,F,전화주문 고객,968450.0,868900.0,1.0,0.0,0.0,F
1383,미입력,미입력,선택,pc,F,사업자,931460.0,760480.0,0.0,3900.0,3900.0,T
3539,미입력,미입력,선택,pc,F,전화주문 고객,1521600.0,1378580.0,0.0,0.0,0.0,T
2161,미입력,미입력,선택,pc,F,전화주문 고객,494290.0,423590.0,0.0,0.0,0.0,F
907,미입력,미입력,선택,pc,F,전화주문 고객,857660.0,800960.0,0.0,0.0,0.0,F
282,미입력,미입력,선택,pc,F,전화주문 고객,563670.0,563670.0,0.0,1000.0,0.0,F
177,미입력,미입력,미입력,pc,F,일반,98600.0,98600.0,4.0,1900.0,0.0,T
2926,미입력,미입력,선택,pc,F,사업자,240330.0,89760.0,0.0,2780.0,0.0,T
2964,미입력,미입력,선택,pc,F,전화주문 고객,142910.0,107910.0,0.0,0.0,0.0,F
1799,미입력,미입력,선택,pc,F,사업자,364100.0,289970.0,0.0,2650.0,0.0,T
2273,미입력,미입력,선택,pc,F,전화주문 고객,335000.0,292800.0,0.0,0.0,0.0,F
162,미입력,미입력,선택,pc,F,사업자,129300.0,128300.0,0.0,1000.0,1000.0,F
