,LOT번호,작업명,설비번호,단위중량(kg),투입중량(kg),투입액량(L),염색길이(m),공정진행시간(%),목표온도,지시온도,진행온도,목표대비 진행온도,지시대비 진행온도,포속1,포속2,포속3,포속4,염색색차 DE
23527,F2208030137,원단검사,FCM08,480,82.4,1000,128.0,56.63,0,130.0,129.9,0.0,0.9992307692307691,42,205,18,172,2.207412
31644,F2208300084,원단검사,FCM06,460,155.8,2000,5.0,65.18,0,70.0,68.6,0.0,0.98,8,257,74,171,1.361657
10329,F2206070015,원단검사,FCM08,324,54.4,1000,119.0,3.68,135,48.1,48.1,0.3562962962962963,1.0,44,19,34,15,1.702155
5836,F2203080146,원단검사,FCM07,560,260.4,4000,450.0,87.68,0,30.0,29.8,0.0,0.9933333333333334,93,114,85,126,1.91208
18502,F2207250114,염색,FCM15,146,188.8,4000,1600.0,93.58,0,30.0,41.4,0.0,1.38,136,106,131,141,0.4435995
29200,F2208220028,원단검사,FCM12,350,35.0,600,87.0,19.44,0,82.6,81.5,0.0,0.9866828087167072,102,30,0,0,3.341123
7160,F2203240259,원단검사,FCM12,495,43.6,600,2.0,35.88,0,130.0,130.2,0.0,1.0015384615384617,55,74,0,0,1.600976
27880,F2208120066,원단검사,FCM08,460,48.0,1000,3.0,50.93,0,70.0,66.6,0.0,0.9514285714285714,64,267,724,75,1.644801
10468,F2206070015,원단검사,FCM08,324,54.4,1000,119.0,35.63,0,83.1,82.6,0.0,0.9939831528279182,3,278,45,225,1.702155
16241,F2207080049,원단검사,FCM08,450,95.8,1000,72.0,24.11,0,130.0,129.9,0.0,0.9992307692307691,55,155,50,138,1.355596
22181,F2208020071,원단검사,FCM12,350,35.6,600,13.0,83.91,0,109.0,107.4,0.0,0.9853211009174312,43,345,0,0,11.56194
8003,F2204080072,원단검사,FCM05,450,129.0,2000,92.0,6.04,130,50.0,45.1,0.3469230769230769,0.902,80,12,172,7,1.000596
24941,F2208080026,원단검사,FCM06,320,108.2,2000,343.0,41.88,0,120.0,120.0,0.0,1.0,25,136,82,83,2.006101
30087,F2208260119,원단검사,FCM05,450,147.4,2000,301.0,36.89,0,110.6,110.1,0.0,0.9954792043399638,6,53,90,40,0.8009977
31712,F2208300084,원단검사,FCM06,460,155.8,2000,5.0,82.98,0,130.0,130.1,0.0,1.0007692307692306,84,326,81,218,1.361657
27267,F2208120058,원단검사,FCM12,460,33.5,600,18.0,3.12,50,31.2,39.1,0.782,1.2532051282051282,51,2,0,0,2.023612
18243,F2207250113,염색,FCM15,146,188.6,4000,1600.0,96.01,0,30.0,41.0,0.0,1.3666666666666667,131,120,132,151,0.3004971
7611,F2203280005,원단검사,FCM08,324,38.8,1000,96.0,65.65,0,98.3,100.6,0.0,1.0233977619532044,70,220,208,92,0.2916726
22623,F2208020100,염색,FCM06,314,99.2,2000,300.0,57.39,0,101.7,101.4,0.0,0.9970501474926254,4,174,70,102,0.4474733
2796,F2202210054,염색,FCM06,314,113.8,2000,350.0,38.27,0,118.1,118.4,0.0,1.0025402201524134,78,103,90,60,0.3047607
33907,F2209010104,원단검사,FCM11,604,207.4,4000,550.0,81.86,0,70.0,69.4,0.0,0.9914285714285715,52,178,57,224,1.874971
5891,F2203080148,원단검사,FCM07,580,264.5,4000,413.0,11.33,20,40.0,40.1,2.005,1.0025,103,12,95,13,3.708582
23586,F2208030137,원단검사,FCM08,480,82.4,1000,128.0,86.73,0,70.0,69.4,0.0,0.9914285714285715,40,316,49,262,2.207412
33849,F2209010104,원단검사,FCM11,604,207.4,4000,550.0,56.19,0,128.7,128.5,0.0,0.9984459984459986,106,119,20,125,1.874971
13985,F2207010015,원단검사,FCM12,460,38.4,600,32.0,30.85,0,130.0,130.2,0.0,1.0015384615384617,37,88,0,0,0.3146644
27673,F2208120066,원단검사,FCM08,460,48.0,1000,3.0,16.02,0,130.0,130.4,0.0,1.0030769230769232,65,80,731,25,1.644801
25228,F2208090010,염색,FCM08,800,66.0,1000,75.0,45.65,0,112.6,112.3,0.0,0.9973357015985792,30,315,30,279,0.3451779
20293,F2207280313,원단검사,FCM05,536,168.4,2000,16.0,8.74,70,60.3,60.2,0.86,0.998341625207297,96,14,92,12,2.792194
1119,F2202160031,원단검사,FCM06,320,158.6,2000,90.0,59.13,0,70.0,48.3,0.0,0.69,49,226,135,120,0.6491697
17411,F2207250108,염색,FCM15,146,187.4,4000,1600.0,98.53,0,30.0,34.2,0.0,1.14,137,118,139,136,0.3946269
11641,F2206220054,원단검사,FCM08,560,63.6,1000,10.0,1.46,40,30.0,35.2,0.8800000000000001,1.1733333333333331,32,5,34,5,1.315164
12886,F2206290155,원단검사,FCM06,552,219.4,2000,6.0,11.21,80,113.8,113.8,1.4225,1.0,103,103,105,68,1.562582
11015,F2206100035,원단검사,FCM05,460,111.0,2000,115.0,13.5,0,85.6,85.9,0.0,1.0035046728971964,132,16,431,1,17.20203
22297,F2208020077,원단검사,FCM08,350,77.6,1000,12.0,16.0,0,90.7,90.4,0.0,0.9966923925027564,63,81,53,72,1.354934
